condition,problem_id,mean_norm_seq_lp,std_norm_seq_lp,iqr_norm_seq_lp,naive_entropy,n_completions
fuzz0.5,61,-0.2383963345706624,0.09900208198182919,0.12528749896849528,1.604682378342714,5
fuzz0.5,3029,-0.16705227950516147,0.06421718364239067,0.12699624491724115,1.6073945605369877,5
fuzz0.5,167,-0.25407146648835666,0.047263929553988004,0.042349333013080914,1.608320168681502,5
fuzz0.5,827,-0.20122942797333332,0.10858439806067635,0.11204736486463772,1.603983902932337,5
fuzz0.5,1231,-0.38967787202958076,0.08271553545903612,0.12931801006526644,1.606008265705019,5
fuzz0.5,392,-0.31133567757319747,0.0817470973079206,0.04785922382421298,1.6059344697144817,5
fuzz0.5,450,-0.46787084255354905,0.09997359682212838,0.0720037317094972,1.6040263449349375,5
fuzz0.5,531,-0.18752892736375917,0.02290082276399089,0.03793169884017955,1.6091775730614073,5
fuzz0.5,1830,-0.2769323055432898,0.1329431163407168,0.22640628043875038,1.601042729691402,5
fuzz0.5,171,-0.07972461926038502,0.05714656609581011,0.014171528977420265,1.607892254508244,5
fuzz0.5,1935,-0.3538873172050093,0.12955575288636334,0.0613417165898586,1.6002232988340206,5
fuzz0.5,1855,-0.26039111854160324,0.08730957634595929,0.08520627969696026,1.605707883784407,5
fuzz0.5,333,-0.11935969103131001,0.045106654185612875,0.08453329469232324,1.6084266033543488,5
fuzz0.5,2650,-0.3509958965138731,0.12022433894216834,0.20031217536249915,1.6020172613689643,5
fuzz0.5,2719,-0.154498770778298,0.07277536462117548,0.1427605045349355,1.6068449063313262,5
fuzz0.5,2426,-0.46379569182502867,0.1268559877926753,0.23642316149261478,1.6014156841005702,5
fuzz0.5,1756,-0.13624090702252015,0.1133334295225183,0.2302445968177616,1.6032483213658795,5
fuzz0.5,1170,-0.40218176673321404,0.023739090211221538,0.037715438356186626,1.6091538089308997,5
fuzz0.5,1578,-0.1737362733879177,0.10323126506798473,0.005084310153133972,1.6046497736261656,5
fuzz0.5,3091,-0.09818168584610609,0.12361891358099457,0.004815743403360405,1.6027237032428732,5
fuzz0.5,2627,-0.4876261285703826,0.05582790970389734,0.10184724876258494,1.6078770860660858,5
fuzz0.5,1434,-0.1747396806980838,0.0229404695917801,0.016808259557019145,1.60917215563748,5
fuzz0.5,1306,-0.24984632940622994,0.11001360775943474,0.1629343095538706,1.6035980626511426,5
fuzz0.5,2015,-0.41084787207618706,0.10903434798601,0.2055993433732068,1.6036680039480202,5
fuzz0.5,3079,-0.39390899514700334,0.09330718949470383,0.1524890618174719,1.6049773507099674,5
fuzz0.5,482,-0.29549671357552254,0.0494518901111125,0.0709559860410533,1.6081912741677755,5
fuzz0.5,2914,-0.13196094718727577,0.09291717413488462,0.030089127430500795,1.6054989287088173,5
fuzz0.5,1671,-0.28732253945427255,0.10485084686891268,0.2092669666341329,1.6038166329551626,5
